R01_0200010364,http://sapcpa.acceptatie.ns.nl:80,NSC_CPA_200,https://sapcca-ssl-acc.ns.nl,NSC_CCA_300,ACC_NAL
R01_0200012635,http://sapcpa.acceptatie.ns.nl:80,NSC_CPA_200,https://sapcca-ssl-acc.ns.nl,NSC_CCA_300,ACC_NAL
R01_0200012772,http://sapcpa.acceptatie.ns.nl:80,NSC_CPA_200,https://sapcca-ssl-acc.ns.nl,NSC_CCA_300,ACC_NAL
R01_0200012773,http://sapcpa.acceptatie.ns.nl:80,NSC_CPA_200,https://sapcca-ssl-acc.ns.nl,NSC_CCA_300,ACC_NAL
R01_0200012690,http://sapcpa.acceptatie.ns.nl:80,NSC_CPA_200,https://sapcca-ssl-acc.ns.nl,NSC_CCA_300,ACC_NAL
R01_0200012694,http://sapcpa.acceptatie.ns.nl:80,NSC_CPA_200,https://sapcca-ssl-acc.ns.nl,NSC_CCA_300,ACC_NAL
R01_0200012732,http://sapcpa.acceptatie.ns.nl:80,NSC_CPA_200,https://sapcca-ssl-acc.ns.nl,NSC_CCA_300,ACC_NAL
R01_0200012770,http://sapcpa.acceptatie.ns.nl:80,NSC_CPA_200,https://sapcca-ssl-acc.ns.nl,NSC_CCA_300,ACC_NAL
R01_0200012777,http://sapcpa.acceptatie.ns.nl:80,NSC_CPA_200,https://sapcca-ssl-acc.ns.nl,NSC_CCA_300,ACC_NAL
R01_0200012802,http://sapcpa.acceptatie.ns.nl:80,NSC_CPA_200,https://sapcca-ssl-acc.ns.nl,NSC_CCA_300,ACC_NAL
R01_0200012805,http://sapcpa.acceptatie.ns.nl:80,NSC_CPA_200,https://sapcca-ssl-acc.ns.nl,NSC_CCA_300,ACC_NAL
R01_0200012842,http://sapcpa.acceptatie.ns.nl:80,NSC_CPA_200,https://sapcca-ssl-acc.ns.nl,NSC_CCA_300,ACC_NAL
R01_0200012873,http://sapcpa.acceptatie.ns.nl:80,NSC_CPA_200,https://sapcca-ssl-acc.ns.nl,NSC_CCA_300,ACC_NAL
